type,name,output_column,source_file,column,row_condition
object,Identifier,id,districts_cov.csv,leaid,
float64,Standardized SES composite (all races),all_ses,districts_cov.csv,sesavgall,
float64,Standardized SES composite (white),w_ses,districts_cov.csv,sesavgwht,
float64,Standardized SES composite (black),b_ses,districts_cov.csv,sesavgblk,
float64,Standardized SES composite (hispanic),h_ses,districts_cov.csv,sesavghsp,
float64,Socioeconomic difference - white/black,wb_ses,districts_cov.csv,sesavgwhtblk,
float64,Socioeconomic difference - white/hispanic,wh_ses,districts_cov.csv,sesavgwhthsp,
float64,Information index between schools: White/Black,wb_seg,districts_cov.csv,segwhtblk,
float64,Information index between schools: White/Hispanic,wh_seg,districts_cov.csv,segwhthsp,
float64,Information index between schools: FRPL/No FRPL,np_seg,districts_cov.csv,segpoornonpoor,
object,Identifier,id,SEDA_geodist_pool_GCS_v30.csv,leaidC,
object,Name,name,SEDA_geodist_pool_GCS_v30.csv,leaname,
object,Identifier,id,SEDA_geodist_pool_GCS_v30.csv,leaidC,subgroup == all
object,State,state,SEDA_geodist_pool_GCS_v30.csv,stateabb,subgroup == all
float64,District Size,all_sz,SEDA_geodist_pool_GCS_v30.csv,mn_asmts,subgroup == all
float64,Average test score,all_avg,SEDA_geodist_pool_GCS_v30.csv,mn_avg_eb,subgroup == all
float64,Growth in grades across years,all_grd,SEDA_geodist_pool_GCS_v30.csv,mn_grd_eb,subgroup == all
float64,Trend in test scores across years,all_coh,SEDA_geodist_pool_GCS_v30.csv,mn_coh_eb,subgroup == all
object,Identifier,id,district_grade_estimates.csv,leaidC,subgroup == all
float64,Grade 3 averages test scores,all_avg3,district_grade_estimates.csv,mn_gr3,subgroup == all
float64,Grade 4 averages test scores,all_avg4,district_grade_estimates.csv,mn_gr4,subgroup == all
float64,Grade 5 averages test scores,all_avg5,district_grade_estimates.csv,mn_gr5,subgroup == all
float64,Grade 6 averages test scores,all_avg6,district_grade_estimates.csv,mn_gr6,subgroup == all
float64,Grade 7 averages test scores,all_avg7,district_grade_estimates.csv,mn_gr7,subgroup == all
float64,Grade 8 averages test scores,all_avg8,district_grade_estimates.csv,mn_gr8,subgroup == all
object,Identifier,id,SEDA_geodist_pool_GCS_v30.csv,leaidC,subgroup == wht
float64,White Sample Size,w_sz,SEDA_geodist_pool_GCS_v30.csv,mn_asmts,subgroup == wht
float64,White average test score,w_avg,SEDA_geodist_pool_GCS_v30.csv,mn_avg_eb,subgroup == wht
float64,White growth in grades,w_grd,SEDA_geodist_pool_GCS_v30.csv,mn_grd_eb,subgroup == wht
float64,White trend in test scores,w_coh,SEDA_geodist_pool_GCS_v30.csv,mn_coh_eb,subgroup == wht
object,Identifier,id,SEDA_geodist_pool_GCS_v30.csv,leaidC,subgroup == blk
float64,Black Sample Size,b_sz,SEDA_geodist_pool_GCS_v30.csv,mn_asmts,subgroup == blk
float64,Black average test score,b_avg,SEDA_geodist_pool_GCS_v30.csv,mn_avg_eb,subgroup == blk
float64,Black growth in grades,b_grd,SEDA_geodist_pool_GCS_v30.csv,mn_grd_eb,subgroup == blk
float64,Black trend in test scores,b_coh,SEDA_geodist_pool_GCS_v30.csv,mn_coh_eb,subgroup == blk
object,Identifier,id,SEDA_geodist_pool_GCS_v30.csv,leaidC,subgroup == hsp
float64,Hispanic Sample Size,h_sz,SEDA_geodist_pool_GCS_v30.csv,mn_asmts,subgroup == hsp
float64,Hispanic average test score,h_avg,SEDA_geodist_pool_GCS_v30.csv,mn_avg_eb,subgroup == hsp
float64,Hispanic growth in grades,h_grd,SEDA_geodist_pool_GCS_v30.csv,mn_grd_eb,subgroup == hsp
float64,Hispanic trend in test scores,h_coh,SEDA_geodist_pool_GCS_v30.csv,mn_coh_eb,subgroup == hsp
object,Identifier,id,SEDA_geodist_pool_GCS_v30.csv,leaidC,subgroup == asn
float64,Asian Sample Size,a_sz,SEDA_geodist_pool_GCS_v30.csv,mn_asmts,subgroup == asn
float64,Asian average test score,a_avg,SEDA_geodist_pool_GCS_v30.csv,mn_avg_eb,subgroup == asn
float64,Asian growth in grades,a_grd,SEDA_geodist_pool_GCS_v30.csv,mn_grd_eb,subgroup == asn
float64,Asian trend in test scores,a_coh,SEDA_geodist_pool_GCS_v30.csv,mn_coh_eb,subgroup == asn
object,Identifier,id,SEDA_geodist_pool_GCS_v30.csv,leaidC,subgroup == mal
float64,Male Sample Size,m_sz,SEDA_geodist_pool_GCS_v30.csv,mn_asmts,subgroup == mal
float64,Male average test score,m_avg,SEDA_geodist_pool_GCS_v30.csv,mn_avg_eb,subgroup == mal
float64,Male growth in grades,m_grd,SEDA_geodist_pool_GCS_v30.csv,mn_grd_eb,subgroup == mal
float64,Male trend in test scores,m_coh,SEDA_geodist_pool_GCS_v30.csv,mn_coh_eb,subgroup == mal
object,Identifier,id,SEDA_geodist_pool_GCS_v30.csv,leaidC,subgroup == fem
float64,Female Sample Size,f_sz,SEDA_geodist_pool_GCS_v30.csv,mn_asmts,subgroup == fem
float64,Female average test score,f_avg,SEDA_geodist_pool_GCS_v30.csv,mn_avg_eb,subgroup == fem
float64,Female growth in grades,f_grd,SEDA_geodist_pool_GCS_v30.csv,mn_grd_eb,subgroup == fem
float64,Female trend in test scores,f_coh,SEDA_geodist_pool_GCS_v30.csv,mn_coh_eb,subgroup == fem
object,Identifier,id,SEDA_geodist_pool_GCS_v30.csv,leaidC,subgroup == ecd
float64,Poor Sample Size,p_sz,SEDA_geodist_pool_GCS_v30.csv,mn_asmts,subgroup == ecd
float64,Poor average test score,p_avg,SEDA_geodist_pool_GCS_v30.csv,mn_avg_eb,subgroup == ecd
float64,Poor growth in grades,p_grd,SEDA_geodist_pool_GCS_v30.csv,mn_grd_eb,subgroup == ecd
